Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur","RM 1,250,000",2+1,3,2,Serviced Residence,"Built-up : 1,335 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 6,800,000",6,7,,Bungalow,Land area : 6900 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,030,000",3,4,2,Condominium (Corner),"Built-up : 1,875 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",,,,,,,
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",4+2,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur",,,,,,,
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,600,000",5,4,4,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,950,000",4+1,4,3,2-sty Terrace/Link House (EndLot),Land area : 25x75 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 385,000",3,2,1,Apartment (Intermediate),Built-up : 904 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur",,,,,,,
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,680,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22 x 80 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,700,000",3+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 1900 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,580,000",6+1,5,5,Bungalow (Intermediate),Land area : 6000 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",,,,,,,
"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,100,000",4+1,3,,Semi-detached House (Intermediate),Land area : 3600 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 9,000,000",6+1,7,4,Bungalow (Corner),Land area : 8500 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,500,000",5+1,7,,Bungalow (Corner),"Built-up : 4,842 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,780,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6,3,Condominium (Corner),"Built-up : 3,720 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+2,4,2,Condominium (Corner),"Built-up : 1,798 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,550,000",1,1,1,Serviced Residence (Intermediate),Built-up : 904 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4,3,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,4,,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 490,000",1,1,1,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur",,5,4,,3-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 610,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,236 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",,,,,,,
"Dutamas, Kuala Lumpur","RM 1,035,880",3+1,4,1,Condominium (EndLot),"Built-up : 1,876 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",3,4,,Condominium (Intermediate),"Built-up : 1,668 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",,,,,,,
"Ampang Hilir, Kuala Lumpur","RM 3,300,000",4+1,4,4,Condominium,"Built-up : 3,536 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur","RM 560,000",3,2,,2-sty Terrace/Link House (Intermediate),Land area : 16x55 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 460,000",1,1,1,Serviced Residence,Built-up : 613 sq. ft.,Fully Furnished
"Jalan Kuching, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,290,710",4+1,4,,Condominium,"Built-up : 2,767 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 2,284,620",4+2,4,,Condominium,"Built-up : 2,702 sq. ft.",
"Cheras, Kuala Lumpur",,,,,,,
